nTraps   , Processes, Time    , Speed Up       , Î•fficiency
1048576  , 1        , 0.000847, 1.0            , 1.0
1048576  , 2        , 0.000741, 1.14304993252  , 0.57152496626
1048576  , 4        , 0.000866, 0.978060046189 , 0.244515011547
1048576  , 8        , 0.000756, 1.12037037037  , 0.140046296296
1048576  , 16       , 0.001581, 0.535736875395 , 0.0334835547122
1048576  , 32       , 0.004873, 0.17381489842  , 0.00543171557563
1048576  , 64       , 0.009179, 0.0922758470422, 0.00144181011003
4194304  , 1        , 0.000758, 1.0            , 1.0
4194304  , 2        , 0.000863, 0.878331402086 , 0.439165701043
4194304  , 4        , 0.000864, 0.877314814815 , 0.219328703704
4194304  , 8        , 0.000849, 0.892815076561 , 0.11160188457
4194304  , 16       , 0.00364 , 0.208241758242 , 0.0130151098901
4194304  , 32       , 0.003023, 0.250744293748 , 0.00783575917963
4194304  , 64       , 0.012752, 0.0594416562108, 0.000928775878294
16777216 , 1        , 0.000814, 1.0            , 1.0
16777216 , 2        , 0.000833, 0.977190876351 , 0.488595438175
16777216 , 4        , 0.000879, 0.926052332196 , 0.231513083049
16777216 , 8        , 0.000833, 0.977190876351 , 0.122148859544
16777216 , 16       , 0.007195, 0.113134120917 , 0.00707088255731
16777216 , 32       , 0.010783, 0.0754891959566, 0.00235903737364
16777216 , 64       , 0.004222, 0.192799621033 , 0.00301249407864
67108864 , 1        , 0.000829, 1.0            , 1.0
67108864 , 2        , 0.000953, 0.869884575026 , 0.434942287513
67108864 , 4        , 0.000809, 1.02472187886  , 0.256180469715
67108864 , 8        , 0.000828, 1.00120772947  , 0.125150966184
67108864 , 16       , 0.003454, 0.240011580776 , 0.0150007237985
67108864 , 32       , 0.00507 , 0.163510848126 , 0.00510971400394
67108864 , 64       , 0.006451, 0.128507208185 , 0.00200792512789
268435456, 1        , 0.000813, 1.0            , 1.0
268435456, 2        , 0.000845, 0.962130177515 , 0.481065088757
268435456, 4        , 0.000825, 0.985454545455 , 0.246363636364
268435456, 8        , 0.000863, 0.942062572422 , 0.117757821553
268435456, 16       , 0.01044 , 0.0778735632184, 0.00486709770115
268435456, 32       , 0.00652 , 0.124693251534 , 0.00389666411044
268435456, 64       , 0.005767, 0.140974510144 , 0.002202726721
